,index,mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
0,7113,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,FH Edwards,1,0,0.3,1,0,1,0,101
1,7114,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,FH Edwards,1,0,0.4,1,0,1,0,101
2,7115,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,FH Edwards,1,0,0.5,1,0,1,0,101
3,7116,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,FH Edwards,1,0,0.6,1,0,1,0,101
4,7119,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,2,1,1.3,2,1,1,0,101
5,7120,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,2,1,1.4,2,1,1,0,101
6,7121,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,2,1,1.5,2,1,1,0,101
7,7122,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,2,1,1.6,2,1,1,0,101
8,7129,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,2,1,3.1,2,1,1,0,101
9,7130,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,6,1,3.2,6,1,4,1,101
10,7131,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,12,1,3.3,12,1,10,1,101
11,7132,59,19/04/2009,Newlands,Kolkata Knight Riders,Deccan Chargers,CH Gayle,RP Singh,12,2,3.4,12,2,10,1,101
12,8601,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,2,1,0.4,2,1,1,0,139
13,8602,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,3,1,0.5,3,1,1,1,139
14,8604,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,3,1,1.1,3,1,1,1,139
15,8605,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,7,1,1.2,7,1,5,1,139
16,8606,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,8,1,1.3,8,1,6,1,139
17,8608,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,9,1,1.5,9,1,6,2,139
18,8609,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,13,1,1.6,13,1,10,2,139
19,8613,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,18,1,2.4,18,1,14,3,139
20,8614,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,23,1,2.4,23,1,14,3,139
21,8615,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,23,1,2.5,23,1,14,3,139
22,8616,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,23,1,2.6,23,1,14,3,139
23,8623,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,37,1,4.1,37,1,17,14,139
24,8624,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,39,1,4.2,39,1,17,16,139
25,8625,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,39,1,4.3,39,1,17,16,139
26,8626,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,43,1,4.4,43,1,20,17,139
27,8627,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,43,1,4.5,43,0,20,17,139
28,8628,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,44,1,4.6,43,0,21,17,139
29,8629,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,A Kumble,44,1,5.1,43,0,21,17,139
30,8630,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,A Kumble,44,1,5.2,42,0,21,17,139
31,8631,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,A Kumble,45,1,5.3,43,0,22,17,139
32,8635,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,45,2,6.1,38,1,22,0,139
33,8636,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,45,2,6.2,37,1,22,0,139
34,8637,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,46,2,6.3,37,1,23,0,139
35,8639,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,48,2,6.5,35,1,24,1,139
36,8641,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,A Kumble,48,2,7.1,35,1,24,1,139
37,8642,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,A Kumble,52,2,7.2,38,1,28,1,139
38,8643,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,A Kumble,53,2,7.3,35,1,29,1,139
39,8647,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,54,2,8.1,31,1,30,1,139
40,8651,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,55,3,8.5,22,2,30,1,139
41,8652,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,P Kumar,56,3,8.6,19,2,31,1,139
42,8653,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,56,3,9.1,19,2,31,1,139
43,8654,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,57,3,9.2,18,2,32,1,139
44,8657,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,RE van der Merwe,59,3,9.5,16,2,33,2,139
45,8659,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,62,3,10.1,18,2,34,4,139
46,8662,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,64,3,10.4,19,2,35,5,139
47,8664,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Pietersen,66,3,10.6,21,1,36,6,139
48,8665,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Appanna,70,3,11.1,25,1,40,6,139
49,8666,71,29/04/2009,Kingsmead,Kolkata Knight Riders,Royal Challengers Bangalore,CH Gayle,KP Appanna,70,4,11.2,25,2,40,6,139
50,9597,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,RR Powar,5,0,0.6,5,0,3,1,153
51,9598,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,IK Pathan,5,0,1.1,5,0,3,1,153
52,9599,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,IK Pathan,5,0,1.2,5,0,3,1,153
53,9600,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,IK Pathan,5,0,1.3,5,0,3,1,153
54,9601,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,IK Pathan,5,0,1.4,5,0,3,1,153
55,9602,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,IK Pathan,5,0,1.5,5,0,3,1,153
56,9603,79,03/05/2009,St George's Park,Kolkata Knight Riders,Kings XI Punjab,CH Gayle,IK Pathan,7,0,1.6,7,0,3,3,153
